  0.0528829   -3.4940343
  0.0535175   -3.4939269
  0.0541597   -3.4938168
  0.0548097   -3.4937042
  0.0554674   -3.4935888
  0.0561330   -3.4934706
  0.0568066   -3.4933496
  0.0574883   -3.4932256
  0.0581781   -3.4930987
  0.0588763   -3.4929687
  0.0595828   -3.4928356
  0.0602978   -3.4926992
  0.0610213   -3.4925596
  0.0617536   -3.4924166
  0.0624946   -3.4922702
  0.0632446   -3.4921202
  0.0640035   -3.4919666
  0.0647716   -3.4918093
  0.0655488   -3.4916483
  0.0663354   -3.4914833
  0.0671314   -3.4913144
  0.0679370   -3.4911414
  0.0687522   -3.4909642
  0.0695773   -3.4907828
  0.0704122   -3.4905970
  0.0712571   -3.4904067
  0.0721122   -3.4902118
  0.0729776   -3.4900123
  0.0738533   -3.4898079
  0.0747396   -3.4895986
  0.0756364   -3.4893843
  0.0765441   -3.4891648
  0.0774626   -3.4889400
  0.0783921   -3.4887098
  0.0793328   -3.4884740
  0.0802848   -3.4882326
  0.0812483   -3.4879854
  0.0822232   -3.4877322
  0.0832099   -3.4874729
  0.0842084   -3.4872074
  0.0852189   -3.4869355
  0.0862416   -3.4866570
  0.0872765   -3.4863719
  0.0883238   -3.4860799
  0.0893837   -3.4857808
  0.0904563   -3.4854746
  0.0915417   -3.4851610
  0.0926402   -3.4848398
  0.0937519   -3.4845109
  0.0948770   -3.4841741
  0.0960155   -3.4838292
  0.0971677   -3.4834761
  0.0983337   -3.4831144
  0.0995137   -3.4827440
  0.1007078   -3.4823647
  0.1019163   -3.4819763
  0.1031393   -3.4815786
  0.1043770   -3.4811713
  0.1056295   -3.4807542
  0.1068971   -3.4803271
